Id,Name
01tWs000006wOTyIAM,FESBA Generator Set
01tWs000006wOUfIAM,PowerControl - Paralleling Switchgear
01tWs000006wOVVIA2,FESBA 900kW
01tWs000006wOVWIA2,FESBA 1200kW
01tWs000006wOVXIA2,FESBA 1500kW
01tWs000006wOVYIA2,FESBA 1750kW
01tWs000006wOVZIA2,FESBA 2500kW
01tWs000006wOVaIAM,"220/380,3 Phase,Wye,4 Wire"
01tWs000006wOVbIAM,"240/416,3 Phase,Wye,4 Wire"
01tWs000006wOVcIAM,"255/440,3 Phase,Wye,4 Wire"
01tWs000006wOVdIAM,"277/480,3 Phase,Wye,4 Wire"
01tWs000006wOVeIAM,"347/600,3 Phase,Wye,4 Wire"
01tWs000006wOVfIAM,"2400/4160,3 Phase,Wye,4Wire"
01tWs000006wOVgIAM,"7200/12470,3 Ph,Wye,4 Wire"
01tWs000006wOVhIAM,"7621/13200,3 Ph,Wye,4 Wire"
01tWs000006wOViIAM,"7976/13800,3 Ph,Wye,4 Wire"
01tWs000006wOVjIAM,"Alternator - 60Hz, 3-Phase, Wye, 2400/4160V, 105/80C, StbyPrm"
01tWs000006wOVkIAM,"ALT-60Hz, Wye,12.47-13.8kV,125/105/80C (S/P/C)"
01tWs000006wOVlIAM,"ALT-60Hz,2400/4160V,125/105/80C (S/P/C)"
01tWs000006wOVmIAM,"ALT-60Hz,Wye,12.47kV,105/80C (S/P)"
01tWs000006wOVnIAM,"Alt-60Hz,Wye,220/380V,150/125/105C-SD/P/C,40C amb"
01tWs000006wOVoIAM,"Alt-60Hz,Wye,220/380V,125/105/80C-StbyPrmCont"
01tWs000006wOVpIAM,"Alt-60Hz,Wye,220/380V,105/80C-StbyPrm"
01tWs000006wOVqIAM,"Alternator-60Hz, 3Phase, 480Volt, 105/80C-StbyPrm"
01tWs000006wOVrIAM,"Alternator-60Hz, 3Phase, 480Volt, 80C-Stby"
01tWs000006wOVsIAM,"Alt-60Hz,347/600V,125/105/80C-SPC"
01tWs000006wOVtIAM,"Alternator-60Hz, 347/600Volt, 105/80C-StbyPrm"
01tWs000006wOVuIAM,"Alternator-60Hz, 347/600Volt, 80C-Stby"
01tWs000006wOVvIAM,"Alternator-60Hz, Wye, 12.47kVolt, 80C-Stby"
01tWs000006wOVwIAM,"Alt-60Hz, Wye, 13.2-13.8kVolt, 105/80C-StbyPrm"
