Id,Name,ParentProductId,ParentProduct.Name,ChildProductId,ChildProduct.Name,ChildProductClassificationId,ChildProductClassification.Name,ProductRelationshipTypeId,ProductRelationshipType.Name,Sequence
0dSKY000000IX9X2AW,PRC-000000081,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTBUYA2,"ALT-60Hz,2400/4160V,125/105/80C (S/P/C)",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,17
0dSKY000000IX9Y2AW,PRC-000000083,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTBVYA2,"ALT-60Hz,Wye,12.47kV,105/80C (S/P)",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,18
0dSKY000000IX9Z2AW,PRC-000000085,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTBWYA2,"Alt-60Hz,Wye,220/380V,150/125/105C-SD/P/C,40C amb",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,19
0dSKY000000IX9a2AG,PRC-000000087,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTBXYA2,"Alt-60Hz,Wye,220/380V,125/105/80C-StbyPrmCont",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,20
0dSKY000000IX9b2AG,PRC-000000089,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTBYYA2,"Alt-60Hz,Wye,220/380V,105/80C-StbyPrm",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,22
0dSKY000000IX9c2AG,PRC-000000091,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTBZYA2,"Alternator-60Hz, 3Phase, 480Volt, 105/80C-StbyPrm",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,23
0dSKY000000IX9d2AG,PRC-000000093,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTBaYAM,"Alternator-60Hz, 3Phase, 480Volt, 80C-Stby",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,24
0dSKY000000IX9e2AG,PRC-000000095,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTBbYAM,"Alt-60Hz,347/600V,125/105/80C-SPC",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,25
0dSKY000000IX9f2AG,PRC-000000097,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTBcYAM,"Alternator-60Hz, 347/600Volt, 105/80C-StbyPrm",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,26
0dSKY000000IX9g2AG,PRC-000000099,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTBdYAM,"Alternator-60Hz, 347/600Volt, 80C-Stby",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,27
0dSKY000000IX9h2AG,PRC-000000101,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTBeYAM,"Alternator-60Hz, Wye, 12.47kVolt, 80C-Stby",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,28
0dSKY000000IX9i2AG,PRC-000000055,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTBEYA2,FESBA 900kW,,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,1
0dSKY000000IX9j2AG,PRC-000000103,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTBfYAM,"Alt-60Hz, Wye, 13.2-13.8kVolt, 105/80C-StbyPrm",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,29
0dSKY000000IX9k2AG,PRC-000000056,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTBFYA2,FESBA 1200kW,,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,2
0dSKY000000IX9l2AG,PRC-000000105,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTBgYAM,"Alternator-60Hz, Wye, 13.2-13.8kVolt, 80C-Stby",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,30
0dSKY000000IX9m2AG,PRC-000000057,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTBGYA2,FESBA 1500kW,,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,3
0dSKY000000IX9n2AG,PRC-000000107,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTBhYAM,"Alternator-60 Hz, Wye, 380 Volt, 80C-Stby",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,32
0dSKY000000IX9o2AG,PRC-000000058,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTBHYA2,FESBA 1750kW,,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,4
0dSKY000000IX9p2AG,PRC-000000109,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTBiYAM,"Alt-60Hz,Wye,440V,125-80C-SPC",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,33
0dSKY000000IX9q2AG,PRC-000000059,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTBIYA2,FESBA 2500kW,,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,5
0dSKY000000IX9r2AG,PRC-000000111,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTBjYAM,"Alternator-60 Hz, Wye, 440 Volt,105/80C-StbyPrm",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,34
0dSKY000000IX9s2AG,PRC-000000060,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTBJYA2,"220/380,3 Phase,Wye,4 Wire",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,6
0dSKY000000IX9t2AG,PRC-000000113,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTBkYAM,"Alternator-60Hz, Wye, 440 Volt,80C-Stby",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,35
0dSKY000000IX9u2AG,PRC-000000061,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTBKYA2,"240/416,3 Phase,Wye,4 Wire",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,7
0dSKY000000IX9v2AG,PRC-000000062,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTBlYAM,"Alt-60Hz,Wye,440V,150/125SP,40C amb",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,36
0dSKY000000IX9w2AG,PRC-000000063,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTBLYA2,"255/440,3 Phase,Wye,4 Wire",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,8
0dSKY000000IX9x2AG,PRC-000000064,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTBmYAM,"Alternator-60 Hz,Wye,240/416 Volt,105/80C-StbyPrm",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,37
0dSKY000000IX9y2AG,PRC-000000065,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTBMYA2,"277/480,3 Phase,Wye,4 Wire",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,9
0dSKY000000IX9z2AG,PRC-000000066,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTBnYAM,"Alt-60Hz, 3Phase, 480Volt, 125/105/80C-StbyPrmCont",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,38
0dSKY000000IXA02AO,PRC-000000067,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTBNYA2,"347/600,3 Phase,Wye,4 Wire",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,10
0dSKY000000IXA12AO,PRC-000000068,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTBoYAM,"Alternator-60Hz,3Phase,480Volt,150C-Stby,40C amb",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,39
0dSKY000000IXA22AO,PRC-000000069,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTBOYA2,"2400/4160,3 Phase,Wye,4Wire",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,11
0dSKY000000IXA32AO,PRC-000000070,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTBpYAM,"Alternator-60Hz,3Phase,600Volt,150C-Stby,40C amb",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,40
0dSKY000000IXA42AO,PRC-000000071,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTBPYA2,"7200/12470,3 Ph,Wye,4 Wire",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,12
0dSKY000000IXA52AO,PRC-000000072,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTBqYAM,"Alt-60Hz,3Ph,277/480V,80C, Stby-Prime,IncrMtrStart",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,43
0dSKY000000IXA62AO,PRC-000000073,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTBQYA2,"7621/13200,3 Ph,Wye,4 Wire",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,13
0dSKY000000IXA72AO,PRC-000000074,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTBrYAM,"Alt-60Hz,3Ph,347/600V,80C, Stby-Prime,IncrMtrStart",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,44
0dSKY000000IXA82AO,PRC-000000075,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTBRYA2,"7976/13800,3 Ph,Wye,4 Wire",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,14
0dSKY000000IXA92AO,PRC-000000076,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTBsYAM,"Alt-60Hz,3Ph,2400/4160V,80C, Stby-Prime,IncrMtrStart",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,45
0dSKY000000IXAA2A4,PRC-000000077,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTBSYA2,"Alternator - 60Hz, 3-Phase, Wye, 2400/4160V, 105/80C, StbyPrm",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,15
0dSKY000000IXAB2A4,PRC-000000078,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTBtYAM,"Alt-60Hz,3Ph,7200/12470V,80C, Stby-Prime,IncrMtrStart",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,46
0dSKY000000IXAC2A4,PRC-000000079,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTBTYA2,"ALT-60Hz, Wye,12.47-13.8kV,125/105/80C (S/P/C)",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,16
0dSKY000000IXAD2A4,PRC-000000080,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTBuYAM,"Alt-60Hz,3Ph,7620/13200V,80C, Stby-Prime,IncrMtrStart",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,47
0dSKY000000IXAE2A4,PRC-000000082,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTBvYAM,"Alt-60Hz,3Ph,7968/13800V,80C, Stby-Prime,IncrMtrStart",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,48
0dSKY000000IXAF2A4,PRC-000000084,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTBwYAM,"Alt-60Hz,3Ph,Wye,380V,105C-DCC,40C Amb",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,49
0dSKY000000IXAG2A4,PRC-000000086,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTBxYAM,"Alt-60Hz,3Ph,Wye,416V,105C-DCC,40C Amb",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,50
0dSKY000000IXAH2A4,PRC-000000088,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTByYAM,"Alt-60Hz,3Ph,Wye,440V,105C-DCC,40C Amb",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,51
0dSKY000000IXAI2A4,PRC-000000090,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTBzYAM,"Alt-60Hz,3Ph,Wye,480V,80C-DCC,40C Amb",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,52
0dSKY000000IXAJ2A4,PRC-000000092,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTC0YAM,"Alt-60Hz,3Ph,Wye,480V,105C-DCC,40C Amb",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,53
0dSKY000000IXAK2A4,PRC-000000094,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTC1YAM,"Alt-60Hz,3Ph,Wye,600V,80C-DCC,40C Amb",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,54
0dSKY000000IXAL2A4,PRC-000000096,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTC2YAM,"Alt-60Hz,3Ph,Wye,600V,105C-DCC,40C Amb",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,55
0dSKY000000IXAM2A4,PRC-000000098,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTC3YAM,"Alt-60Hz,3Ph,Wye,4160V,80C-DCC,40C Amb",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,56
0dSKY000000IXAN2A4,PRC-000000145,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTCUYA2,"Bearing,1 RTD NDE",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,85
0dSKY000000IXAO2A4,PRC-000000100,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTC4YAM,"Alt-60Hz,3Ph,Wye,12.47kV,80C-DCC,40C Amb",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,57
0dSKY000000IXAP2A4,PRC-000000147,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTCVYA2,"Heater-Alternator, 120 Volt AC",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,86
0dSKY000000IXAQ2A4,PRC-000000102,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTC5YAM,"Alt-60Hz,3Ph,Wye,13.2kV,80C-DCC,40C Amb",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,58
0dSKY000000IXAR2A4,PRC-000000149,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTCWYA2,"Heater-Alternator, 240 Volt AC",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,87
0dSKY000000IXAS2A4,PRC-000000104,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTC6YAM,"Alt-60Hz,3Ph,Wye,13.8kV,80C-DCC,40C Amb",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,59
0dSKY000000IXAT2A4,PRC-000000121,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTCXYA2,Separator-Fuel/Water,,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,72
0dSKY000000IXAU2A4,PRC-000000106,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTC7YAM,"Alt-60Hz,3Ph,Wye,440V,80C-DCC,40C Amb",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,60
0dSKY000000IXAV2A4,PRC-000000151,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTCYYA2,"Heater-Alternator, 110/220 (120/240) Volt AC",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,88
0dSKY000000IXAW2A4,PRC-000000108,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTC8YAM,"Alt-60Hz,3Ph,Wye,380V,80C-DCC,40C Amb",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,62
0dSKY000000IXAX2A4,PRC-000000153,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTCZYA2,PMG,,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,89
0dSKY000000IXAY2A4,PRC-000000110,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTC9YAM,"Alt-60Hz,3Ph,Wye,416V,80C-DCC,40C Amb",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,63
0dSKY000000IXAZ2A4,PRC-000000155,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTCaYAM,Hardened Bearing Cartridge,,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,90
0dSKY000000IXAa2AO,PRC-000000112,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTCAYA2,Engine - QSK60-G6,,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,64
0dSKY000000IXAb2AO,PRC-000000157,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTCbYAM,"Output Terminals-2-Hole Lug, NEMA",,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,91
0dSKY000000IXAc2AO,PRC-000000114,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTCBYA2,Normal Duty Air Cleaner,,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,65
0dSKY000000IXAd2AO,PRC-000000159,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTCcYAM,Differential CT's P7,,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,92
0dSKY000000IXAe2AO,PRC-000000115,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTCCYA2,Heavy Duty Air Cleaner,,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,66
0dSKY000000IXAf2AO,PRC-000000161,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTCdYAM,Differential CT's P80,,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,93
0dSKY000000IXAg2AO,PRC-000000116,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTCDYA2,Electric Starter Motor - 24V DC,,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,67
0dSKY000000IXAh2AO,PRC-000000163,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTCeYAM,Circuit Breaker or Entrance Box-None,,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,94
0dSKY000000IXAi2AO,PRC-000000117,01tKY000002yTB1YAM,FESBA Generator Set,01tKY000002yTCEYA2,Battery Charging Alternator,,,0yoKY000000z8qkYAA,Bundle to Bundle Component Relationship,68
