Code,DataType,Description,Name,Status,UnitOfMeasure.UnitCode
applicationEmissionCertification,Text,,applicationEmissionCertification,Draft,
Bucket_Size,Text,,Bucket_Size,Active,
DutyRating,Text,,DutyRating,Draft,
Entrance Types,Text,,Entrance Types,Draft,
Equipment Power,Text,,Equipment Power,Active,
Languages,Text,,Languages,Draft,
Power,Text,,Power,Active,
Ripper_Size,Text,,Ripper_Size,Active,
seismicCertification,Text,,seismicCertification,Draft,
SpecialApplication,Text,,SpecialApplication,Draft,
standardsAndCompliance,Text,,standardsAndCompliance,Draft,
Transmission,Text,,Transmission,Active,
Voltage,Text,,Voltage,Draft,
