$$Code$ParentProduct.StockKeepingUnit,Code,Description,MaxBundleComponents,MinBundleComponents,Name,ParentGroup.$$Code$ParentProduct.StockKeepingUnit,ParentProduct.StockKeepingUnit,Sequence
414LP-KAA-E-SSL,,,,,Subscription,,414LP-KAA-E-SSL,50
414LP-KAA-E-SSL,,,,1,Attachments,,414LP-KAA-E-SSL,20
414LP-KAA-E-SSL,,,1,1,Tire Options,,414LP-KAA-E-SSL,10
414LP-KAA-E-SSL,,,1,,Warranty,,414LP-KAA-E-SSL,40
414LP-KAA-E-SSL,,,,,Cabin Options,,414LP-KAA-E-SSL,30
FESBA-FRD,,,,,Install & Misc,,FESBA-FRD,7
FESBA-FRD,,,,,Installation,FESBA-FRD,FESBA-FRD,7
FESBA-FRD,,,,,Misc,FESBA-FRD,FESBA-FRD,2
Accessories;FESBA-FRD,Accessories,,,,Accessories,,FESBA-FRD,6
Accessories Main;FESBA-FRD,Accessories Main,,99,1,Accessories Main,Accessories;FESBA-FRD,FESBA-FRD,50
Air Cleaner Duty Rating;FESBA-FRD,Air Cleaner Duty Rating,,1,1,Air Cleaner Duty Rating,Engine;FESBA-FRD,FESBA-FRD,18
Alternator;FESBA-FRD,Alternator,,,,Alternator,,FESBA-FRD,2
Battery Charging Alternator;FESBA-FRD,Battery Charging Alternator,,1,1,Battery Charging Alternator,Engine;FESBA-FRD,FESBA-FRD,20
Bearing Hardened Cartridge;FESBA-FRD,Bearing Hardened Cartridge,,1,0,Bearing Hardened Cartridge,Alternator;FESBA-FRD,FESBA-FRD,31
Circuit Breaker or Box Arrangement;FESBA-FRD,Circuit Breaker or Box Arrangement,,1,1,Circuit Breaker or Box Arrangement,Alternator;FESBA-FRD,FESBA-FRD,34
Circuit Breaker or Terminal Box;FESBA-FRD,Circuit Breaker or Terminal Box,,2,0,Circuit Breaker or Terminal Box,Alternator;FESBA-FRD,FESBA-FRD,35
Control;FESBA-FRD,Control,,,,Control,,FESBA-FRD,4
Control Cabinet Heater;FESBA-FRD,Control Cabinet Heater,,1,0,Control Cabinet Heater,Control;FESBA-FRD,FESBA-FRD,43
Control Main;FESBA-FRD,Control Main,,1,1,Control Main,Control;FESBA-FRD,FESBA-FRD,40
Control Options;FESBA-FRD,Control Options,,99,0,Control Options,Control;FESBA-FRD,FESBA-FRD,44
Coolant Heater;FESBA-FRD,Coolant Heater,,1,0,Coolant Heater,Engine;FESBA-FRD,FESBA-FRD,24
Cooling System;FESBA-FRD,Cooling System,,1,1,Cooling System,Engine;FESBA-FRD,FESBA-FRD,25
Cooling System Connection;FESBA-FRD,Cooling System Connection,,1,0,Cooling System Connection,Engine;FESBA-FRD,FESBA-FRD,26
Cooling System Protection;FESBA-FRD,Cooling System Protection,,1,1,Cooling System Protection,Engine;FESBA-FRD,FESBA-FRD,27
Differential CT's;FESBA-FRD,Differential CT's,,99,0,Differential CT's,Alternator;FESBA-FRD,FESBA-FRD,33
Enclosure;FESBA-FRD,Enclosure,,1,1,Enclosure,Accessories;FESBA-FRD,FESBA-FRD,49
Engine;FESBA-FRD,Engine,,,,Engine,,FESBA-FRD,3
Engine Model;FESBA-FRD,Engine Model,,1,1,Engine Model,Engine;FESBA-FRD,FESBA-FRD,17
Fuel Filter;FESBA-FRD,Fuel Filter,,1,1,Fuel Filter,Engine;FESBA-FRD,FESBA-FRD,23
Fuel System Options;FESBA-FRD,Fuel System Options,,99,0,Fuel System Options,Engine;FESBA-FRD,FESBA-FRD,22
General;FESBA-FRD,General,,,,General,,FESBA-FRD,1
Heater;FESBA-FRD,Heater,,1,0,Heater,Alternator;FESBA-FRD,FESBA-FRD,28
Literature Language;FESBA-FRD,Literature Language,,99,1,Literature Language,Services;FESBA-FRD,FESBA-FRD,47
Load Connections;FESBA-FRD,Load Connections,,4,0,Load Connections,Alternator;FESBA-FRD,FESBA-FRD,36
Main Alternator;FESBA-FRD,Main Alternator,,1,1,Main Alternator,Alternator;FESBA-FRD,FESBA-FRD,16
Model;FESBA-FRD,Model,,1,1,Model,General;FESBA-FRD,FESBA-FRD,7
Oil System Options;FESBA-FRD,Oil System Options,,99,0,Oil System Options,Engine;FESBA-FRD,FESBA-FRD,21
Output Terminals;FESBA-FRD,Output Terminals,,1,0,Output Terminals,Alternator;FESBA-FRD,FESBA-FRD,31
Packing for Shipment;FESBA-FRD,Packing for Shipment,,1,1,Packing for Shipment,Services;FESBA-FRD,FESBA-FRD,48
PMG;FESBA-FRD,PMG,,1,1,PMG,Alternator;FESBA-FRD,FESBA-FRD,30
Primary Electrical Isolation Device Options;FESBA-FRD,Primary Electrical Isolation Device Options,,99,0,Primary Electrical Isolation Device Options,Alternator;FESBA-FRD,FESBA-FRD,39
Services;FESBA-FRD,Services,,,,Services,,FESBA-FRD,5
Starter Motor;FESBA-FRD,Starter Motor,,1,1,Starter Motor,Engine;FESBA-FRD,FESBA-FRD,19
Temperature Sensors;FESBA-FRD,Temperature Sensors,,2,0,Temperature Sensors,Alternator;FESBA-FRD,FESBA-FRD,29
Testing;FESBA-FRD,Testing,,99,1,Testing,Services;FESBA-FRD,FESBA-FRD,46
Voltage Connection;FESBA-FRD,Voltage Connection,,1,1,Voltage Connection,General;FESBA-FRD,FESBA-FRD,15
Warranty;FESBA-FRD,Warranty,,1,1,Warranty,Services;FESBA-FRD,FESBA-FRD,45
SC-GOLD,,,,,Optional Entitlements,,SC-GOLD,20
SC-GOLD,,,,,Included Entitlements,,SC-GOLD,10
