$$Period.FullyQualifiedLabel$AdvAcctForecastSetPartner.Name$Product.StockKeepingUnit$Category__r.Name,Account_Manager_Forecasted_Quantity__c,Account_Manager_Forecasted_Revenue__c,Account.Name,AdvAcctForecastSetPartner.$$Name$AdvAccountForecastSet.DeveloperName$Account.Name,AdvAcctForecastSetUse.Name,Category__r.Name,LastYearOrderQuantity,LastYearOrderRevenue,Name,OpportunityQuantity,OpportunityRevenue,OrderQuantity,OrderRevenue,Period.Id,PeriodStartDate,Product.Name,SalesAgreementQuantity,SalesAgreementRevenue,Status
FQ1 FY 2025;Acme Forecast;H2SO4-200L-DR;Base Chemicals,430871,8336,Acme,Acme Forecast;CategoryForecastSet;Acme,,Base Chemicals,861930,4273,Sulfuric Acid (H2SO4) - 200L Drum FQ1 FY 2025,331587,9061,609335,5713,026Ws000002NAA4IAO,,Sulfuric Acid (H2SO4) - 200L Drum,462755,5304,Active
FQ2 FY 2025;Acme Forecast;H2SO4-200L-DR;Base Chemicals,311258,1821,Acme,Acme Forecast;CategoryForecastSet;Acme,,Base Chemicals,445895,3280,Sulfuric Acid (H2SO4) - 200L Drum FQ2 FY 2025,200387,7446,366795,4201,026Ws000002NAA5IAO,,Sulfuric Acid (H2SO4) - 200L Drum,603981,4828,Active
FQ3 FY 2025;Acme Forecast;H2SO4-200L-DR;Base Chemicals,584270,3557,Acme,Acme Forecast;CategoryForecastSet;Acme,,Base Chemicals,647607,7526,Sulfuric Acid (H2SO4) - 200L Drum FQ3 FY 2025,683440,4089,343671,9648,026Ws000002NAA6IAO,,Sulfuric Acid (H2SO4) - 200L Drum,672139,7400,Active
FQ4 FY 2025;Acme Forecast;H2SO4-200L-DR;Base Chemicals,543046,5001,Acme,Acme Forecast;CategoryForecastSet;Acme,,Base Chemicals,212370,1566,Sulfuric Acid (H2SO4) - 200L Drum FQ4 FY 2025,527094,1052,190221,1940,026Ws000002NAA7IAO,,Sulfuric Acid (H2SO4) - 200L Drum,405337,6768,Active
FQ1 FY 2026;Acme Forecast;H2SO4-200L-DR;Base Chemicals,163098,5902,Acme,Acme Forecast;CategoryForecastSet;Acme,,Base Chemicals,66443,2722,Sulfuric Acid (H2SO4) - 200L Drum FQ1 FY 2026,657970,1477,792263,5062,026Ws000002NA8yIAG,,Sulfuric Acid (H2SO4) - 200L Drum,313191,7508,Active
FQ2 FY 2026;Acme Forecast;H2SO4-200L-DR;Base Chemicals,208937,8079,Acme,Acme Forecast;CategoryForecastSet;Acme,,Base Chemicals,750823,2085,Sulfuric Acid (H2SO4) - 200L Drum FQ2 FY 2026,589696,3941,881828,5644,026Ws000002NA8zIAG,,Sulfuric Acid (H2SO4) - 200L Drum,392109,3523,Active
FQ3 FY 2026;Acme Forecast;H2SO4-200L-DR;Base Chemicals,567214,1799,Acme,Acme Forecast;CategoryForecastSet;Acme,,Base Chemicals,220759,2535,Sulfuric Acid (H2SO4) - 200L Drum FQ3 FY 2026,511230,4594,119558,5439,026Ws000002NA90IAG,,Sulfuric Acid (H2SO4) - 200L Drum,317397,3067,Active
FQ4 FY 2026;Acme Forecast;H2SO4-200L-DR;Base Chemicals,768745,8876,Acme,Acme Forecast;CategoryForecastSet;Acme,,Base Chemicals,543638,7147,Sulfuric Acid (H2SO4) - 200L Drum FQ4 FY 2026,202691,5107,456783,4471,026Ws000002NA91IAG,,Sulfuric Acid (H2SO4) - 200L Drum,405639,7252,Active
FQ1 FY 2025;Acme Forecast;NH3-CYL;Base Chemicals,141213,2065,Acme,Acme Forecast;CategoryForecastSet;Acme,,Base Chemicals,679153,2444,Ammonia (NH3) - CYL FQ1 FY 2025,316029,1259,787519,7463,026Ws000002NAA4IAO,,Ammonia (NH3) - CYL,264745,8129,Active
FQ2 FY 2025;Acme Forecast;NH3-CYL;Base Chemicals,321499,5254,Acme,Acme Forecast;CategoryForecastSet;Acme,,Base Chemicals,634048,8482,Ammonia (NH3) - CYL FQ2 FY 2025,696426,1919,984867,3645,026Ws000002NAA5IAO,,Ammonia (NH3) - CYL,745059,3534,Active
FQ3 FY 2025;Acme Forecast;NH3-CYL;Base Chemicals,807989,6360,Acme,Acme Forecast;CategoryForecastSet;Acme,,Base Chemicals,244985,2782,Ammonia (NH3) - CYL FQ3 FY 2025,818306,8653,114127,1577,026Ws000002NAA6IAO,,Ammonia (NH3) - CYL,736653,2580,Active
FQ4 FY 2025;Acme Forecast;NH3-CYL;Base Chemicals,730615,6895,Acme,Acme Forecast;CategoryForecastSet;Acme,,Base Chemicals,545529,2508,Ammonia (NH3) - CYL FQ4 FY 2025,366058,3438,258738,5750,026Ws000002NAA7IAO,,Ammonia (NH3) - CYL,748025,8608,Active
FQ1 FY 2026;Acme Forecast;NH3-CYL;Base Chemicals,31899,5124,Acme,Acme Forecast;CategoryForecastSet;Acme,,Base Chemicals,873558,6707,Ammonia (NH3) - CYL FQ1 FY 2026,678044,1235,91012,8040,026Ws000002NA8yIAG,,Ammonia (NH3) - CYL,541595,8647,Active
FQ2 FY 2026;Acme Forecast;NH3-CYL;Base Chemicals,760944,4951,Acme,Acme Forecast;CategoryForecastSet;Acme,,Base Chemicals,833080,6536,Ammonia (NH3) - CYL FQ2 FY 2026,109836,4394,286512,4464,026Ws000002NA8zIAG,,Ammonia (NH3) - CYL,436566,3701,Active
FQ3 FY 2026;Acme Forecast;NH3-CYL;Base Chemicals,310518,6969,Acme,Acme Forecast;CategoryForecastSet;Acme,,Base Chemicals,400616,6113,Ammonia (NH3) - CYL FQ3 FY 2026,254787,4880,322018,1666,026Ws000002NA90IAG,,Ammonia (NH3) - CYL,41120,5258,Active
FQ4 FY 2026;Acme Forecast;NH3-CYL;Base Chemicals,717434,1671,Acme,Acme Forecast;CategoryForecastSet;Acme,,Base Chemicals,110510,6934,Ammonia (NH3) - CYL FQ4 FY 2026,246427,4390,165591,2273,026Ws000002NA91IAG,,Ammonia (NH3) - CYL,226862,6848,Active
