Code,DataType,Description,Name,Status,UnitOfMeasure.UnitCode
applicationEmissionCertification,Text,,applicationEmissionCertification,Draft,
Bucket_Size,Text,,Bucket_Size,Active,
Cooling Method PL,Text,,Cooling Method,Active,
DC_Voltage,Text,,DC_Voltage,Active,
DutyRating,Text,,DutyRating,Draft,
Entrance Types,Text,,Entrance Types,Draft,
Equipment Power,Text,,Equipment Power,Active,
Fuel Type,Text,,Fuel Type,Active,
gc_certificate,Text,,gc_certificate,Active,
Languages,Text,,Languages,Draft,
Power,Text,,Power,Active,
Power Output Picklist,Text,,Power Output Picklist,Active,
Ripper_Size,Text,,Ripper_Size,Active,
seismicCertification,Text,,seismicCertification,Draft,
SpecialApplication,Text,,SpecialApplication,Draft,
standardsAndCompliance,Text,,standardsAndCompliance,Draft,
Transmission,Text,,Transmission,Active,
Voltage,Text,,Voltage,Draft,
