$$ProductClassification.Code$AttributeDefinition.Code$AttributeCategory.Code,AttributeCategory.Code,AttributeDefinition.Code,AttributeNameOverride,DefaultValue,Description,DisplayType,HelpText,IsHidden,IsPriceImpacting,IsReadOnly,IsRequired,MaximumCharacterCount,MaximumValue,MinimumCharacterCount,MinimumValue,Name,ProductClassification.Code,Sequence,Status,StepValue,UnitOfMeasure.UnitCode,ValueDescription
Buckets PC;Size_AD;Bucket Size_AC,Bucket Size_AC,Size_AD,Size,"36""",Bucket Size,,,false,false,false,false,,,,,Size,Buckets PC,,Active,,,
Control PC;Control Language,,Control Language,Control Language,English,,,,false,false,false,false,,,,,Control Language,Control PC,,Active,,,
Control PC;Control Placement,,Control Placement,Control Placement,Right,,,,false,false,true,false,,,,,Control Placement,Control PC,,Active,,,
Fuel Cell PC;Cooling Method AD,,Cooling Method AD,Cooling Method,,,,,false,false,false,false,,,,,Cooling Method,Fuel Cell PC,,Active,,,
Fuel Cell PC;Fuel Type AD;Fuel Cell AC,Fuel Cell AC,Fuel Type AD,Fuel Type,Hydrogen (H2),,,,false,false,false,false,,,,,Fuel Type,Fuel Cell PC,,Active,,,
Fuel Cell PC;gc_certificate;Fuel Cell AC,Fuel Cell AC,gc_certificate,Certificate,,,,,false,false,false,false,,,,,Certificate,Fuel Cell PC,,Active,,,
Fuel Cell PC;Nominal Power Output AD,,Nominal Power Output AD,Nominal Power Output,,,,,false,false,false,false,,,,,Nominal Power Output,Fuel Cell PC,,Active,,,
Fuel Cell PC;Operating Voltage AD,,Operating Voltage AD,Operating Voltage,12V,,,,false,false,false,false,,,,,Operating Voltage,Fuel Cell PC,,Active,,,
Generator Set PC;Application/Emission Certification;Environment,Environment,Application/Emission Certification,Application/Emission Certification,,,,,false,false,false,false,,,,,Application/Emission Certification,Generator Set PC,,Active,,,
Generator Set PC;Duty Rating;Application,Application,Duty Rating,Duty Rating,,,,,false,false,false,false,,,,,Duty Rating,Generator Set PC,,Active,,,
Generator Set PC;FB_Full Load Required (kW);Application,Application,FB_Full Load Required (kW),FB_Full Load Required (kW),500,,,,false,false,false,false,,,,,Full Load Required (kW),Generator Set PC,,Active,,,
Generator Set PC;FB_max dB level;Application,Application,FB_max dB level,FB_max dB level,,,,,false,false,false,false,,,,,max dB level,Generator Set PC,,Active,,,
Generator Set PC;FB_Voltage;Application,Application,FB_Voltage,FB_Voltage,,,,,false,false,false,false,,,,,Voltage,Generator Set PC,,Active,,,
Generator Set PC;Reserve Capacity (kW);Application,Application,Reserve Capacity (kW),Reserve Capacity (kW),125,,,,false,false,true,false,,,,,Reserve Capacity (kW),Generator Set PC,,Active,,,
Generator Set PC;Seismic Certification;Environment,Environment,Seismic Certification,Seismic Certification,,,,,false,false,false,false,,,,,Seismic Certification,Generator Set PC,,Active,,,
Generator Set PC;Special Application;Environment,Environment,Special Application,Special Application,None - Standard,,,,false,false,false,false,,,,,Special Application,Generator Set PC,,Active,,,
Generator Set PC;Standards and Compliance;Environment,Environment,Standards and Compliance,Standards and Compliance,,,,,false,false,false,false,,,,,Standards and Compliance,Generator Set PC,,Active,,,
Generator Set PC;Surge Load (kW);Application,Application,Surge Load (kW),Surge Load (kW),625,,,,false,false,true,false,,,,,Surge Load (kW),Generator Set PC,,Active,,,
MainAlternator;FB_Voltage;Application,Application,FB_Voltage,FB_Voltage,,,,,false,false,false,false,,,,,FB_Voltage,MainAlternator,,Active,,,
Model PC;powerkW,,powerkW,powerkW,,,,,false,false,false,false,,,,,powerkW,Model PC,,Active,,,
Skid Steer PC;Cabin_Enclosure_AD;Cabin_AC,Cabin_AC,Cabin_Enclosure_AD,Cabin_Enclosure,false,,,,false,false,false,false,,,,,Cabin_Enclosure,Skid Steer PC,,Active,,,
Skid Steer PC;Engine_AD;Power Train_AC,Power Train_AC,Engine_AD,Engine,50 Hp,,,,false,false,false,false,,,,,Engine,Skid Steer PC,,Active,,,
Skid Steer PC;Transmission_AD;Power Train_AC,Power Train_AC,Transmission_AD,Transmission,One-Speed,,,,false,false,false,false,,,,,Transmission,Skid Steer PC,,Active,,,
