Code,DataType,DefaultHelpText,DefaultValue,Description,DeveloperName,IsActive,IsRequired,Label,Name,Picklist.Code,SourceSystemIdentifier,UnitOfMeasure.UnitCode,ValueDescription
Application/Emission Certification,Picklist,,,,applicationEmissionCertification,true,false,Application/Emission Certification,Application/Emission Certification,applicationEmissionCertification,,,
Cabin_Enclosure_AD,Checkbox,,false,,Cabin_Enclosure,true,false,Cabin_Enclosure,Cabin_Enclosure,,,,
Control Language,Picklist,,English,,controlLanguage,true,false,Control Language,Control Language,Languages,,,
Control Placement,Picklist,,,,controlPlacement,true,false,Control Placement,Control Placement,Entrance Types,,,
Desired Noise Level (dB),Number,,,,gc_desiredDb,true,false,Desired Noise Level (dB),Desired Noise Level (dB),,,,
Desired Power Output (kW),Number,,,,gc_desiredKw,true,false,Desired Power Output (kW),Desired Power Output (kW),,,,
Desired Running Hours,Number,,,,gc_desiredRunningHours,true,false,Desired Running Hours,Desired Running Hours,,,,
Duty Rating,Picklist,,,,DutyRating,true,false,Duty Rating,Duty Rating,DutyRating,,,
Engine_AD,Picklist,,50 Hp,,Engine,true,false,Engine,Engine,Power,,,
FB_Full Load Required (kW),Number,,,,requiredKW,true,false,Full Load Required (kW),FB_Full Load Required (kW),,,,
FB_max dB level,Number,,,,dBMax,true,false,max dB level,FB_max dB level,,,,
FB_Voltage,Picklist,,,,Voltage,true,false,Voltage,FB_Voltage,Voltage,,,
powerkW,Picklist,,,,powerkW,true,false,powerkW,powerkW,Power,,,
Reserve Capacity (kW),Number,,,,reserveCapacityKW,true,false,Reserve Capacity (kW),Reserve Capacity (kW),,,,
Running Power Output (kW),Number,,,,gc_runningKw,true,false,Running Power Output (kW),Running Power Output (kW),,,,
Seismic Certification,Picklist,,,,seismicCertification,true,false,Seismic Certification,Seismic Certification,seismicCertification,,,
Size_AD,Picklist,,"36""",Bucket Size,Size,true,false,Size,Size,Bucket_Size,,,
Special Application,Picklist,,None - Standard,,specialApplication,true,false,Special Application,Special Application,SpecialApplication,,,
Standards and Compliance,Picklist,,,,standardsAndCompliance,true,false,Standards and Compliance,Standards and Compliance,standardsAndCompliance,,,
Surge Load (kW),Number,,,,surgeLoadKW,true,false,Surge Load (kW),Surge Load (kW),,,,
Transmission_AD,Picklist,,One-Speed,,Transmission,true,false,Transmission,Transmission,Transmission,,,
