Catalog.Code,Code,Description,IsNavigational,Name,ParentCategory.Code,SortOrder
Badger Chemicals,Additives & Catalysts,Substances added in small amounts to enhance or modify chemical reactions or product properties.,true,Additives & Catalysts,,50
Badger Chemicals,Base Chemicals,Fundamental chemical compounds used as building blocks in various industrial processes.,true,Base Chemicals,,10
Badger Chemicals,Industrial Solvents,"Liquids used to dissolve, suspend, or extract materials.",true,Industrial Solvents,,40
Badger Chemicals,Polymers & Resins,"Materials used in plastics, coatings, and adhesives.",true,Polymers & Resins,,30
Badger Chemicals,Specialty Chemicals,"High-value, custom-formulated chemicals tailored for specific applications.",true,Specialty Chemicals,,20
Badger Equipment Catalog (RLM),Attachments,,true,Attachments,,60
Badger Equipment Catalog (RLM),Equipment,,true,Equipment,,20
Badger Equipment Catalog (RLM),Lubricants,,true,Lubricants,,10
Badger Equipment Catalog (RLM),Replacement Parts,,true,Replacement Parts,,50
Badger Equipment Catalog (RLM),Rippers,,true,Rippers,,70
Badger Equipment Catalog (RLM),Service Contracts,,true,Service Contracts,,90
Badger Equipment Catalog (RLM),Trenchers,,true,Trenchers,,80
Badger Equipment Catalog (RLM),Excavators,,true,Excavators,Equipment,40
Badger Equipment Catalog (RLM),Skid Steers,,true,Skid Steers,Equipment,30
GeneratorCatalog,Batteries,,true,Batteries,,40
GeneratorCatalog,Connectivity,,true,Connectivity,,50
GeneratorCatalog,Fuel Cells,,true,Fuel Cells,,30
GeneratorCatalog,Generators,,true,Generators,,10
GeneratorCatalog,Solar Panels,,true,Solar Panels,,20
Service Contracts,Tiers,,true,Tiers,,1
Service Contracts,Warranty,,true,Warranty,,2
