DataType,Description,Name,Status,UnitOfMeasure.UnitCode
Text,,applicationEmissionCertification,Active,
Text,,Bucket_Size,Active,
Text,,Cooling Method,Active,
Text,,DC_Voltage,Active,
Text,,DutyRating,Active,
Text,,Entrance Types,Active,
Text,,Equipment Power,Active,
Text,,Fuel Type,Active,
Text,,gc_certificate,Active,
Text,,Languages,Active,
Text,,Power,Active,
Text,,Power Output Picklist,Active,
Text,,Ripper_Size,Active,
Text,,seismicCertification,Active,
Text,,SpecialApplication,Active,
Text,,standardsAndCompliance,Active,
Text,,Transmission,Active,
Text,,Voltage,Active,
