Abbreviation,Code,DisplayValue,IsDefault,Name,Picklist.Name,Sequence,Status,Value
,100 kW,100 kW,false,100 kW,Power Output Picklist,1,Active,100 kW
,1200,1200,false,1200,Power,1200,Active,1200
,12V,12V,false,12V,DC_Voltage,1,Active,12V
,1500,1500,false,1500,Power,1500,Active,1500
,"16""","16""",false,"16""",Bucket_Size,10,Active,"16"""
,1750,1750,false,1750,Power,1750,Active,1750
,"19""","19""",false,"19""",Ripper_Size,10,Active,"19"""
,"20""","20""",false,"20""",Bucket_Size,20,Active,"20"""
,220/380,220/380,false,220/380,Voltage,10,Active,220/380
,240/416,240/416,false,240/416,Voltage,20,Active,240/416
,2400/4160,2400/4160,false,2400/4160,Voltage,60,Active,2400/4160
,24V,24V,false,24V,DC_Voltage,2,Active,24V
,2500,2500,false,2500,Power,2500,Active,2500
,255/440,255/440,false,255/440,Voltage,30,Active,255/440
,"27""","27""",true,"27""",Ripper_Size,20,Active,"27"""
,277/480,277/480,false,277/480,Voltage,40,Active,277/480
,300 kW,300 kW,false,300 kW,Power Output Picklist,2,Active,300 kW
,"34""","34""",false,"34""",Ripper_Size,30,Active,"34"""
,347/600,347/600,false,347/600,Voltage,50,Active,347/600
,"36""","36""",true,"36""",Bucket_Size,30,Active,"36"""
,"42""","42""",false,"42""",Bucket_Size,40,Active,"42"""
,48V,48V,false,48V,DC_Voltage,3,Active,48V
,50 Hp,50 Hp,true,50 Hp,Power,10,Active,50 Hp
,"50""","50""",false,"50""",Bucket_Size,50,Active,"50"""
,500 kW,500 kW,false,500 kW,Power Output Picklist,3,Active,500 kW
,700 kW,700 kW,false,700 kW,Power Output Picklist,4,Active,700 kW
,7200/12470,7200/12470,false,7200/12470,Voltage,70,Active,7200/12470
,7621/13200,7621/13200,false,7621/13200,Voltage,80,Active,7621/13200
,7976/13800,7976/13800,false,7976/13800,Voltage,90,Active,7976/13800
,90 Hp,90 Hp,false,90 Hp,Power,20,Active,90 Hp
,900,900,false,900,Power,900,Active,900
,Air-Cooled,Air-Cooled,false,Air-Cooled,Cooling Method,1,Active,Air-Cooled
,Ammonia,Ammonia,false,Ammonia,Fuel Type,5,Active,Ammonia
,Certification-CSA,Certification-CSA,false,Certification-CSA,standardsAndCompliance,10,Active,Certification-CSA
,Continuous Power (COP),Continuous Power (COP),false,Continuous Power (COP),DutyRating,30,Active,Continuous Power (COP)
,CSA_C22.2,UL2200 & CSA C22.2,false,CSA_C22.2,gc_certificate,3,Active,UL2200 & CSA C22.2
,Data Center Continuous (DCC),Data Center Continuous (DCC),false,Data Center Continuous (DCC),DutyRating,40,Active,Data Center Continuous (DCC)
,Emergency Standby Power (ESP),Emergency Standby Power (ESP),false,Emergency Standby Power (ESP),DutyRating,10,Active,Emergency Standby Power (ESP)
,Entrance_Bottom,Bottom,false,Bottom,Entrance Types,5,Active,Bottom
,Entrance_Left,Left,false,Left,Entrance Types,2,Active,Left
,Entrance_None,None,false,None,Entrance Types,1,Active,None
,Entrance_Right,Right,false,Right,Entrance Types,3,Active,Right
,Entrance_Top,Top,false,Top,Entrance Types,4,Active,Top
,Ethanol,Ethanol,false,Ethanol,Fuel Type,4,Active,Ethanol
,gc_NONE,Non UL2200/CSA C22.2 certified,false,NONE,gc_certificate,1,Active,NONE
,Hydrogen,Hydrogen (H2),false,Hydrogen (H2),Fuel Type,1,Active,Hydrogen (H2)
